ID,Type,SKU,Name,Categories,Tags,Description,Regular price,Sale price,Regular price_numeric,Sale price_numeric,In stock?,Stock,Images,Purchase note,has_price,has_sale,is_available,has_images,price_tier,rag_description
7595,simple,,Ginger Cocktails,Buffet,,"Lorem ipsum dolor sit amet, consectetur adipisicing elitsi edo eiusmod senteas tempor incididunt ut labore et dolr emagna aliqua. Ut enim ad minim dano ris veniam quis",36.0,,36.0,0.0,1,0.0,https://hs-traiteur.com/wp-content/uploads/2022/08/home-3-img-8.jpg,,True,False,True,True,économique,"Produit: Ginger Cocktails | Type: simple | Catégories: Buffet | Tarification: 36.0 MAD | Détails: Lorem ipsum dolor sit amet, consectetur adipisicing elitsi edo eiusmod senteas tempor incididunt ut labore et dolr emagna aliqua. Ut enim ad minim dano ris veniam quis | Disponibilité: En stock | Images: Disponibles"
7634,simple,,Buffet de soutenance Chic standard,"Buffet, Buffet > Buffet de soutenance","buffet, doctorat, école, étudiant, soutenance, thèse","Vous êtes enfin récompensés, vous êtes diplômés, il est temps maintenant de fêter ça avec de la famille et les amis. Organiser un buffet ou pot de soutenance ou une soirée pour célébrer cette réussite c’est facile avec les formules préparées par notre Chef. En terme de contenu (30 personnes): \n \nCoté sucré : \n \n Gâteaux aux amandes \n Gâteaux sablé \n Gâteaux Prestige \n Mini soirée \n Tartelettes \n \nCoté salé : \n \n Salé feuilleté(quiche \nmini Burger \nmini chawarma..) \n Salé marocains : pastilla, briwates ... \n \nBoissons: \n \n Jus 3 parfums nature \n Café, \n Thé, \n Eau minérale \n \nMatériel, Service et décoration florale. \n \nCe prix n'inclut pas la pièce montée",6000.0,,6000.0,0.0,1,0.0,"https://hs-traiteur.com/wp-content/uploads/2022/08/buffetchic2-e1672142246747.jpeg, https://hs-traiteur.com/wp-content/uploads/2022/08/buffetchic-e1660600877370.jpeg, https://hs-traiteur.com/wp-content/uploads/2022/08/buffetchic3-e1665759768490.jpeg, https://hs-traiteur.com/wp-content/uploads/2022/08/buffetchic2-e1672142246747.jpeg, https://hs-traiteur.com/wp-content/uploads/2022/12/IMG-20240710-WA0003.jpg, https://hs-traiteur.com/wp-content/uploads/2022/12/IMG-20230527-WA0034.jpg",,True,False,True,True,premium,"Produit: Buffet de soutenance Chic standard | Type: simple | Catégories: Buffet, Buffet > Buffet de soutenance | Tarification: 6000.0 MAD | Détails: Vous êtes enfin récompensés, vous êtes diplômés, il est temps maintenant de fêter ça avec de la famille et les amis. Organiser un buffet ou pot de soutenance ou une soirée pour célébrer cette réussite... | Disponibilité: En stock | Étiquettes: buffet, doctorat, école, étudiant, soutenance, thèse | Images: Disponibles"
7636,simple,,Décoration et Matériel Chic,Buffet,,Le buffet chic apporte une touche d'élégance et de gourmandise à votre évenement.,1000.0,950.0,1000.0,950.0,1,0.0,,,True,True,True,False,moyen_gamme,"Produit: Décoration et Matériel Chic | Type: simple | Catégories: Buffet | Tarification: Prix promotionnel 950.0 MAD (Prix normal: 1000.0 MAD, Économie 5%) | Détails: Le buffet chic apporte une touche d'élégance et de gourmandise à votre évenement. | Disponibilité: En stock"
7637,simple,,Pastilla duo,Cuisine marocaine et internationale,"Pastilla, poisson, poulet","C'est une composition de deux pastillas. La première est une pastilla aux saveurs océans : poissons variés et fruits de mers . La deuxième est une pastilla poulet amandes, la reine de la cuisine marocaine. \n \nUn duo parfait pour répondre à tous les goûts.",1500.0,1300.0,1500.0,1300.0,1,0.0,"https://hs-traiteur.com/wp-content/uploads/2022/08/IMG-20220612-WA0004-e1660697523479.jpg, https://hs-traiteur.com/wp-content/uploads/2022/08/WhatsApp-Image-2022-12-27-at-11.59.03.jpeg, https://hs-traiteur.com/wp-content/uploads/2022/08/WhatsApp-Image-2022-08-15-at-01.11.38.jpeg, https://hs-traiteur.com/wp-content/uploads/2022/08/WhatsApp-Image-2022-08-15-at-01.11.39.jpeg",,True,True,True,True,moyen_gamme,"Produit: Pastilla duo | Type: simple | Catégories: Cuisine marocaine et internationale | Tarification: Prix promotionnel 1300.0 MAD (Prix normal: 1500.0 MAD, Économie 13%) | Détails: C'est une composition de deux pastillas. La première est une pastilla aux saveurs océans : poissons variés et fruits de mers . La deuxième est une pastilla poulet amandes, la reine de la cuisine maroc... | Disponibilité: En stock | Étiquettes: Pastilla, poisson, poulet | Images: Disponibles"
7700,simple,,Chewa ou Mechwi Royal,"Cuisine marocaine et internationale, Mariage et fiançialle",Viande,"Epaules d'agneau marinées et cuites à la façon royale, accompagnées de bouquetière de de légumes ou de fruits confis.",1300.0,,1300.0,0.0,1,0.0,"https://hs-traiteur.com/wp-content/uploads/2022/08/WhatsApp-Image-2022-08-15-at-01.10.58-e1660697836645.jpeg, https://hs-traiteur.com/wp-content/uploads/2022/08/WhatsApp-Image-2022-08-15-at-01.10.58-1.jpeg, https://hs-traiteur.com/wp-content/uploads/2022/08/IMG-20220617-WA0010.jpg, https://hs-traiteur.com/wp-content/uploads/2022/08/20220611_153053-scaled.jpg, https://hs-traiteur.com/wp-content/uploads/2022/08/20220611_153037-scaled.jpg",,True,False,True,True,moyen_gamme,"Produit: Chewa ou Mechwi Royal | Type: simple | Catégories: Cuisine marocaine et internationale, Mariage et fiançialle | Tarification: 1300.0 MAD | Détails: Epaules d'agneau marinées et cuites à la façon royale, accompagnées de bouquetière de de légumes ou de fruits confis. | Disponibilité: En stock | Étiquettes: Viande | Images: Disponibles"
7705,simple,,Poulet prestige,"Cuisine marocaine et internationale, Mariage et fiançialle",poulet,"Ce plat apporte une touche gastronomique à notre cuisine traditionnelle marocaine. Le fameux poulet au citron confit a été revisité pour donner lieu à ce plat prestigieux, constitué de 4 poulets mqelli avec deghmira et un accompagnement couscous seffa aux fruits.",750.0,,750.0,0.0,1,0.0,"https://hs-traiteur.com/wp-content/uploads/2022/08/272828486_226942286309600_3317762567249506471_n-e1660738198488.jpg, https://hs-traiteur.com/wp-content/uploads/2022/08/20220117_174912-scaled.jpg, https://hs-traiteur.com/wp-content/uploads/2022/08/20220117_174922-scaled.jpg, https://hs-traiteur.com/wp-content/uploads/2022/08/20220117_174917-scaled.jpg",,True,False,True,True,moyen_gamme,"Produit: Poulet prestige | Type: simple | Catégories: Cuisine marocaine et internationale, Mariage et fiançialle | Tarification: 750.0 MAD | Détails: Ce plat apporte une touche gastronomique à notre cuisine traditionnelle marocaine. Le fameux poulet au citron confit a été revisité pour donner lieu à ce plat prestigieux, constitué de 4 poulets mqell... | Disponibilité: En stock | Étiquettes: poulet | Images: Disponibles"
7709,simple,,Pastilla poulet,"Cuisine marocaine et internationale, Mariage et fiançialle",poulet,"La préférée de la cuisine marocaine, pastilla poulet aux amandes. Feuilles de briques cuites à la vapeur, farcies avec une farce spéciale à base de poulet et d'une couche d'amandes au fleurs d'oranger.",800.0,,800.0,0.0,1,0.0,"https://hs-traiteur.com/wp-content/uploads/2022/08/IMG-20201130-WA0002-e1660739534898.jpg, https://hs-traiteur.com/wp-content/uploads/2022/08/IMG-20201130-WA0002-e1660739534898.jpg",,True,False,True,True,moyen_gamme,"Produit: Pastilla poulet | Type: simple | Catégories: Cuisine marocaine et internationale, Mariage et fiançialle | Tarification: 800.0 MAD | Détails: La préférée de la cuisine marocaine, pastilla poulet aux amandes. Feuilles de briques cuites à la vapeur, farcies avec une farce spéciale à base de poulet et d'une couche d'amandes au fleurs d'oranger... | Disponibilité: En stock | Étiquettes: poulet | Images: Disponibles"
7756,variable,menu_classique,Menu complet classique - table de 10 personnes,"Cuisine marocaine et internationale, Mariage et fiançialle","poulet, Viande","Prix de la table à la porté \nVotre traiteur Belmokhtar HS traiteur, vous propose une prestation complète de qualité, avec un prix par table à la porté de tout le monde : \nMenu complet \n \n Accueil à la marocaine : Dattes majhoul et lait \n Accompagnements et amuses-bouche \n Un cocktail de réception varié : Jus variés et soirées \n Diner aux saveurs marocains : pastilla poulet et viande aux pruneaux et fruits secs \n un festival de gâteaux beldi aux amandes accompagnés de thé marocain et café \n \nUne décoration appropriée. \n \n",,,0.0,0.0,1,0.0,"https://hs-traiteur.com/wp-content/uploads/2022/08/DSC_6677-scaled-e1684915257285.jpg, https://hs-traiteur.com/wp-content/uploads/2022/08/HAM_4307-scaled-e1661243953902.jpg, https://hs-traiteur.com/wp-content/uploads/2022/08/IMG-20201130-WA0002-e1660739534898.jpg, https://hs-traiteur.com/wp-content/uploads/2022/08/menuclassique.png, https://hs-traiteur.com/wp-content/uploads/2022/08/WhatsApp-Image-2022-08-23-at-18.28.54-e1661380841387.jpeg",,False,False,True,True,sans_prix,"Produit: Menu complet classique - table de 10 personnes | Type: variable | Catégories: Cuisine marocaine et internationale, Mariage et fiançialle | Détails: Prix de la table à la porté \nVotre traiteur Belmokhtar HS traiteur, vous propose une prestation complète de qualité, avec un prix par table à la porté de tout le monde : \nMenu complet \n \n Accueil ... | Disponibilité: En stock | Étiquettes: poulet, Viande | Images: Disponibles"
7762,variation,,Menu complet classique - table de 10 personnes,,,,4100.0,,4100.0,0.0,1,0.0,,,True,False,True,False,premium,Produit: Menu complet classique - table de 10 personnes | Type: variation | Tarification: 4100.0 MAD | Disponibilité: En stock
7763,variation,,Menu complet classique - table de 10 personnes,,,,4300.0,,4300.0,0.0,1,0.0,,,True,False,True,False,premium,Produit: Menu complet classique - table de 10 personnes | Type: variation | Tarification: 4300.0 MAD | Disponibilité: En stock
